ai|矮矮胖胖-矮矮实实
an|安安分分-安安静静-安安稳稳-安安心心-安安逸逸
ang|肮肮脏脏
ba|巴巴急急-巴巴劫劫-巴巴结结
bai|白白朱朱
ban|斑斑点点-斑斑斓斓-半半拉拉-半半路路-绊绊磕磕
bei|悲悲切切
ben|本本分分-本本源源
beng|蹦蹦跳跳
bi|比比划划-笔笔直直
bie|别别扭扭
bin|彬彬济济
bing|炳炳烺烺-炳炳麟麟-炳炳凿凿-病病歪歪-病病殃殃
bo|波波碌碌
cao|嘈嘈杂杂-草草率率
cha|插插花花
chan|颤颤巍巍
chao|怊怊惕惕-吵吵闹闹
che|扯扯拽拽
chen|沉沉稳稳
chi|吃吃喝喝-蚩蚩蠢蠢-痴痴迷迷
chong|匆匆忙忙-葱葱郁郁-重重叠叠
chou|抽抽搭搭-抽抽噎噎
cha|出出律律-楚楚谡谡
chui|吹吹打打-吹吹拍拍
cong|从从容容
cu|粗粗笨笨-促促刺刺
cui|啛啛喳喳
cun|村村势势
da|搭搭撒撒-打打闹闹-大大法法-大大方方-大大咧咧-大大落落-大大小小
dan|眈眈逐逐-耽耽逐逐
dang|荡荡默默-荡荡悠悠
dao|道道地地
di|的的确确-低低切切-嘀嘀咕咕-滴滴答答-地地道道
dian|颠颠倒倒-点点滴滴
die|跌跌滚滚-跌跌爬爬-跌跌跄跄-跌跌撞撞
ding|丁丁当当-丁丁列列-叮叮当当
diu|丢丢秀秀
dong|洞洞惺惺-洞洞属属
dou|抖抖瑟瑟-躲躲藏藏-躲躲闪闪
du|嘟嘟囔囔-嘟嘟哝哝
duan|端端正正-断断继继-断断休休-断断续续
dun|敦敦实实
duo|多多少少
e|峨峨汤汤-峨峨洋洋-噩噩浑浑
en|恩恩爱爱-恩恩怨怨
fan|翻翻覆覆-反反复复-反反覆覆
fang|方方面面-方方正正
fei|匪匪翼翼-沸沸汤汤-沸沸扬扬
fen|纷纷籍籍-纷纷穰穰-纷纷攘攘-纷纷扰扰-纷纷扬扬-纷纷洋洋-纷纷拥拥
feng|丰丰满满-风风火火-风风势势-风风雨雨-风风韵韵-疯疯癫癫
fu|伏伏腊腊-服服贴贴-服服帖帖
ga|旮旮旯旯
gan|干干脆脆-干干净净-干干翼翼
gao|高高兴兴
gua|刮刮杂杂
ge|疙疙瘩瘩
geng|哽哽咽咽
gong|公公道道-公公婆婆-恭恭敬敬
gou|勾勾搭搭-沟沟坎坎
gu|咕咕噜噜-咕咕哝哝-孤孤单单-孤孤零零-孤孤恓恓-古古怪怪-鼓鼓囊囊
guai|怪怪奇奇
gui|规规矩矩-鬼鬼祟祟
gun|滚滚滔滔-混混沄沄
guo|聒聒噪噪
han|含含糊糊
hao|浩浩荡荡-浩浩漫漫-浩浩汤汤
he|和和睦睦-和和气气-赫赫巍巍-赫赫魏魏-赫赫炎炎-赫赫扬扬
heng|哼哼唧唧
hong|轰轰烈烈-輷輷殷殷-红红火火
hu|糊糊涂涂
hua|花花搭搭-花花点点-花花柳柳-花花绿绿-花花哨哨
huan|欢欢喜喜
