ai|哀哀父母-哀哀欲绝
an|安安合适
ang|昂昂不动-昂昂之鹤-昂昂自若
ao|嗷嗷待哺-嗷嗷待食-嗷嗷无告
ban|班班可考
ben|本本主义
bi|比比皆然-比比皆是
bin|彬彬文质-彬彬有礼
bu|步步登高-步步高升-步步紧逼-步步进逼-步步莲花-步步深入-步步为营
cao|草草不恭-草草了事-草草收兵
ceng|层层加码-层层深入
cha|察察而明-察察为明
chang|怅怅不乐
chao|超超玄著-超超玄箸
chen|陈陈相因
chi|蚩蚩者民-迟迟吾行-侈侈不休
cha|楚楚不凡-楚楚动人-楚楚可爱-楚楚可怜-楚楚可人-楚楚有致-楚楚作态
chun|蠢蠢思动-蠢蠢欲动
chuo|绰绰有余-绰绰有裕
ci|刺刺不休
cu|蹙蹙靡骋-卒卒鲜暇
dai|代代相传
dan|眈眈虎视-耽耽虎视-旦旦而伐-旦旦信誓
dang|荡荡之勋
dao|刀刀见血
die|喋喋不休-喋喋不已
ding|鼎鼎大名-鼎鼎有名
duo|多多益办-多多益善-咄咄逼人-咄咄怪事-咄咄书空
e|谔谔以昌
en|恩恩相报
fa|泛泛而谈-泛泛其词-泛泛之交-泛泛之人-泛泛之谈
fei|非非之想
fen|纷纷不一-纷纷议论-忿忿不平-愤愤不平
fu|富富有余
gao|高高在上
ge|格格不纳-格格不入-格格不吐
geng|耿耿此心-耿耿寸心-耿耿于怀-耿耿于心-耿耿在怀-耿耿在心
gu|呱呱堕地-呱呱而泣-呱呱坠地
guan|官官相护-官官相为-官官相卫
gun|衮衮诸公-滚滚当潮-滚滚而来
hang|行行蛇蚓
hao|好好先生
he|赫赫声名-赫赫时名-赫赫英名-赫赫有名-赫赫有声-赫赫之功-赫赫之光-赫赫之名
hu|忽忽不乐-忽忽如狂
hua|花花肠子-花花公子-花花世界-花花太岁
huang|惶惶不安
hui|恢恢有余
hun|昏昏欲睡-浑浑无涯
ji|岌岌可危-汲汲顾影-济济一堂-寂寂无闻
jia|戛戛独造-戛戛其难
jian|蹇蹇匪躬
jiao|矫矫不群
jie|节节败退-节节胜利
jin|斤斤计较-斤斤较量-斤斤自守-津津乐道-津津有味
jing|井井有法-井井有方-井井有理-井井有条-井井有序-井井有绪
jiong|炯炯有神
jiu|赳赳武夫-赳赳雄断-九九归一-九九归原-久久不忘
ju|踽踽独行
juan|眷眷不忘-眷眷之心
kan|侃侃而谈-侃侃而言
keng|硁硁之见-硁硁之信-硁硁之愚
kong|空空妙手-空空如也
kou|口口相传
kua|夸夸而谈-夸夸其谈
kuan|款款而谈-款款之愚
lang|琅琅上口-朗朗乾坤-朗朗上口
le|乐乐不殆
lei|累累如珠
li|历历可辨-历历可见-历历可考-历历可数-历历如画-历历如绘-历历在耳-历历在目-栗栗危惧-栗栗自危
lian|恋恋不舍-恋恋难舍
liao|寥寥可数-寥寥无几-了了可见
lin|凛凛威风
lu|碌碌寡合-碌碌无才-碌碌无能-碌碌无奇-碌碌无为-碌碌无闻-碌碌庸才-碌碌庸流-碌碌终身-辘辘远听
luo|荦荦大端-荦荦大者-珞珞如石-落落晨星-落落大方-落落寡合-落落难合-落落之誉
mai|脉脉相通
man|漫漫长夜-蔓蔓日茂
mang|芒芒苦海-茫茫苦海
mao|毛毛细雨
mei|昧昧无闻
men|闷闷不乐-闷闷不悦
mi|靡靡之乐-靡靡之声-靡靡之音
mian|绵绵不断-绵绵不绝-绵绵不息-绵绵瓜瓞-面面皆到-面面俱到-面面俱全-面面俱圆-面面厮觑-面面相睹-面面相看-面面相窥-面面相觑-面面圆到-面面周到
miao|眇眇之身
ming|明明庙谟-冥冥之志
mo|嘿嘿无言-脉脉含情-脉脉无言-没没无闻-漠漠无闻-默默不语-默默无声-默默无闻-默默无言-默默无语
mu|目目相觑
nan|喃喃低语-喃喃细语-喃喃自语
nao|呶呶不休
nian|念念不舍-念念不释-念念不忘-念念有词
niao|袅袅不绝-袅袅余音
nuo|诺诺连声-喏喏连声
