a|阿姑阿翁-阿家阿翁-阿猫阿狗
ai|挨家挨户-挨门挨户-碍上碍下-碍手碍脚-碍足碍手
an|暗气暗恼
ao|傲头傲脑
ba|八攻八克
bai|百发百中-百举百捷-百举百全-百伶百俐-百灵百验-百顺百依-百下百全-百下百着-百衣百随-百依百从-百依百顺-百依百随-百约百叛-百战百败-百战百胜-百治百效-百中百发
ban|半瞋半喜-半工半读-半饥半饱-半间半界-半梦半醒-半明半暗-半青半黄-半晴半阴-半上半下-半生半熟-半丝半缕-半死半活-半死半生-半吐半露-半推半就-半吞半吐-半伪半真-半文半白-半心半意-半新半旧-半信半疑-半疑半信-半真半假-绊手绊脚
bao|暴饮暴食
bei|悖入悖出
ben|本乡本土-笨手笨脚-笨头笨脑-笨嘴笨腮-笨嘴笨舌
bi|比张比李-必恭必敬-必躬必亲-毕恭毕敬
bian|变脸变色-变颜变色
bu|卜夜卜昼-卜宅卜邻-卜昼卜夜-不卑不亢-不藏不掖-不茶不饭-不痴不聋-不偢不倸-不瞅不睬-不雌不雄-不次不宠-不存不济-不当不正-不得不尔-不毒不发-不悱不发-不愤不启-不丰不俭-不丰不杀-不逢不若-不干不净-不尴不尬-不公不法-不古不今-不瞽不聋-不管不顾-不轨不物-不好不坏-不哼不哈-不慌不忙-不荤不素-不饥不寒-不即不离-不疾不徐-不稼不穑-不间不界-不骄不躁-不皦不昧-不今不古-不矜不伐-不矜不盈-不紧不慢-不禁不由-不揪不采-不揪不採-不揪不睬-不亢不卑-不抗不卑-不愧不作-不愧不怍-不郎不秀-不稂不莠-不冷不热-不理不睬-不凉不酸-不了不当-不磷不缁-不伶不俐-不伦不类-不蔓不支-不蔓不枝-不忙不暴-不明不暗-不明不白-不挠不屈-不挠不折-不偏不党-不偏不倚-不破不立-不清不白-不屈不挠-不仁不义-不日不月-不三不四-不僧不俗-不衫不履-不上不落-不上不下-不生不灭-不生不死-不声不吭-不声不气-不声不响-不识不知-不死不活-不死不生-不疼不痒-不痛不痒-不吐不快-不吐不茹-不瘟不火-不文不武-不闻不问-不问不闻-不猧不魀-不咸不淡-不徐不疾-不哑不聋-不言不语-不痒不痛-不依不饶-不夷不惠-不因不由-不阴不阳-不折不扣-不知不觉-不忮不求-不做不休
cai|采葑采菲
chang|常来常往
chao|潮涨潮落-炒买炒卖
che|彻里彻外-彻内彻外-彻上彻下-彻首彻尾-彻头彻尾-彻心彻骨
cheng|称帝称王-称王称霸-称王称伯-成己成物-成名成家-成千成万-成日成夜-成双成对-诚欢诚喜-诚惶诚惧-诚惶诚恐-诚恐诚惶-诚心诚意-乘时乘势
cha|楚得楚弓-楚弓楚得
chui|吹埙吹箎
chun|蠢头蠢脑
cu|粗声粗气-促忙促急-促死促灭
da|打里打外-打牙打令-大包大揽-大本大宗-大吵大闹-大彻大悟-大澈大悟-大吃大喝-大吹大打-大吹大擂-大慈大悲-大恩大德-大风大浪-大富大贵-大喊大吼-大喊大叫-大哄大嗡-大红大绿-大红大紫-大吼大叫-大吉大利-大经大法-大酒大肉-大开大合-大锣大鼓-大鸣大放-大模大样-大男大女-大破大立-大起大落-大请大受-大仁大义-大仁大勇-大是大非-大手大脚-大行大市-大摇大摆-大鱼大肉-大智大勇
dai|呆头呆脑-代拆代行-戴日戴斗
de|得尺得寸-得寸得尺
deng|登手登脚
di|敌惠敌怨-递胜递负-递兴递废
dian|癫头癫脑-攧手攧脚
diao|吊形吊影
diu|丢魂丢魄-丢眉丢眼
dong|动手动脚
dou|斗智斗力
du|独断独行-独来独往-独门独户-独清独醒-独是独非-独往独来-独行独断
dui|对嘴对舌
duo|多病多愁-多才多艺-多材多艺-多吃多占-多愁多病-多劳多得-多能多艺-多情多感-多情多义-多事多患-多手多脚-多言多败-多言多语-多艺多才-多易多难-多灾多难-多种多样-多嘴多舌
e|恶声恶气-恶言恶语-恶衣恶食-恶有恶报
er|而今而后-尔俸尔禄
fa|贩夫贩妇
fang|方生方死
fei|非驴非马-非罴非熊-非亲非故-非日非月-非熊非罴-肥吃肥喝-匪石匪席-匪夷匪惠-吠形吠声-吠影吠声
fen|分期分批
feng|风言风语-风张风势
fo|佛眼佛心
fu|附影附声
gai|改步改玉-改玉改步-改玉改行
gan|敢怒敢言-敢为敢做-敢想敢干-敢想敢说-敢作敢当-敢作敢为-敢做敢当-敢做敢为
gang|戆头戆脑
ge|疙里疙瘩-革面革心-各就各位-各门各户-各色各样-各式各样-各行各业-各种各样
