chuang|床上安床-床上迭床-床上叠床-床上施床-床下安床
cuo|错上加错
dou|豆萁燃豆
e|讹以传讹-讹以滋讹
fang|防不及防-防不胜防
gong|公门有公
guan|冠上加冠
guo|国将不国-国中之国
hua|话里有话-话中有话
ji|急人所急-疾味生疾
jian|见所不见-见所未见
jiang|将门出将-将门有将
jie|节中长节
jing|精益求精
ju|举不胜举
lun|轮扁斫轮
mang|忙上加忙
mei|眉下添眉-美益求美
meng|梦中说梦
nan|难乎其难-难上加难
nian|年复一年
qi|欺人自欺
qiao|巧上加巧
qin|亲上成亲-亲上加亲-亲上作亲-亲上做亲
ren|人无完人-仁者能仁-忍无可忍
ri|日复一日-日甚一日-日慎一日
shan|山上有山
shen|神乎其神
shu|数不胜数
sun|损之又损
tian|天外有天
tong|痛定思痛
tou|头上安头-头上著头-头痛治头
wei|微乎其微-为所欲为
wen|闻所不闻-闻所未闻
wu|屋下盖屋-屋下架屋-屋下作屋
xiang|相门出相-相门有相
xin|新益求新
xing|刑期无刑
xuan|玄之又玄
yi|衣锦褧衣
zei|贼喊捉贼
zhi|枝外生枝-桎辖之桎
zui|罪上加罪
