ao|傲骨嶙嶙
bai|白发苍苍-白雪皑皑
ban|板上钉钉
bei|北芒垒垒
ben|本末终终
bi|碧波滚滚
bo|波光粼粼-波光鳞鳞-波涛滚滚-薄暮冥冥
bu|不过尔尔-不甚了了
chan|谗口嗷嗷-谗口嚣嚣
chang|长夜漫漫
chou|愁思茫茫-愁绪冥冥
ci|辞趣翩翩-此恨绵绵-此心耿耿
da|大才盘盘-大才槃槃-大腹便便-大汗涔涔-大名鼎鼎
dang|谠论侃侃
dao|道路藉藉
de|得意扬扬-得意洋洋
dian|颠毛种种
ding|钉头磷磷
dong|冬夏青青
du|独行踽踽-独自乐乐-独自茕茕
en|恩怨了了
fei|飞鸿冥冥
feng|丰度翩翩-风尘碌碌-风尘仆仆-风度翩翩-风雨凄凄
fu|福寿绵绵-俯仰唯唯-负债累累
gua|瓜瓞绵绵
ge|割剥元元
gu|顾虑重重
guai|怪事咄咄
guan|关情脉脉
han|含情脉脉
hao|好善恶恶
hong|鸿飞冥冥
hu|虎视眈眈-虎视耽耽
hua|画里真真
ji|饥肠辘辘-吉祥止止
jian|剑戟森森
jin|金光闪闪
jing|惊才绝绝-惊采绝绝
ke|可怜巴巴
kong|空腹便便
kou|口语籍籍
ku|苦海茫茫
lai|来去匆匆-来势汹汹-来之坎坎
lao|劳心忉忉
lei|泪眼汪汪
li|利口喋喋
liang|两泪汪汪-两手空空
liao|聊复尔尔
lu|路远迢迢
mao|矛盾重重
miao|妙手空空
mo|磨刀霍霍
mu|目光炯炯-暮气沉沉
nang|囊橐累累
niu|牛山濯濯
nu|怒气冲冲
qi|七魄悠悠-其乐融融-其势汹汹-气喘吁吁-气势汹汹-气息奄奄-气宇昂昂
qian|千里迢迢
qing|情意绵绵
qiu|秋波盈盈-秋水盈盈
qun|群雌粥粥
re|热汗涔涔-热气腾腾
ren|人才济济-人情汹汹-人情恟恟-人心皇皇-人心惶惶-人心汹汹-人言籍籍-人言藉藉-人言凿凿-人言啧啧
rui|瑞雪霏霏
sha|杀气腾腾
shan|善诱恂恂-善诱循循
shen|神采奕奕-神彩奕奕-神气扬扬
sheng|生机勃勃-生气勃勃-声势汹汹
shi|十指纤纤-实非易易-豕虱濡濡-是事可可
shou|瘦骨棱棱-瘦骨嶙嶙
shu|书记翩翩-书空咄咄-书声琅琅-书声朗朗
shuo|硕果累累
si|思虑营营-死气沉沉
tao|逃之夭夭-桃之夭夭
ti|绨袍恋恋
tian|天道恢恢-天理昭昭-天网恢恢-天下滔滔-天下匈匈-天下汹汹-天下恟恟
tie|铁板钉钉-铁骨铮铮-铁中铮铮
tong|童山濯濯
wan|万里迢迢-万目睽睽-万众睢睢
wei|威风凛凛-微波粼粼
wen|温情脉脉-文武皇皇-文质彬彬-文质斌斌
wu|无所事事
xi|喜气冲冲-喜气洋洋
xia|夏屋渠渠
xian|纤腰楚楚
xiang|相貌堂堂-想入非非
xiao|枵肠辘辘-小时了了-小心翼翼-小言詹詹
xin|心旌摇摇-心事重重-信誓旦旦
xing|兴致勃勃-行色匆匆-行色怱怱
xiong|兄弟怡怡-雄心勃勃
xiu|羞人答答
xue|血迹斑斑-血泪斑斑-血债累累
ya|压线年年
yan|言笑晏晏-言之凿凿-眼泪汪汪
yang|杨柳依依
yao|遥夜沉沉-窈窕冥冥
ye|野心勃勃
yi|一表堂堂-一貌堂堂-一息奄奄-衣冠楚楚-衣冠济济-衣裳楚楚-衣妆楚楚-仪表堂堂-议论纷纷-意气扬扬-意气洋洋
ying|英姿勃勃
yong|佣中佼佼-庸中佼佼-庸中皎皎-庸中皦皦
you|忧心忡忡-忧心悄悄-游刃恢恢
yu|迂腐腾腾-余音袅袅-余子碌碌-玉立亭亭
yue|月色溶溶
zai|在耳历历
zao|朝气勃勃
zhong|中情烈烈-中心摇摇-忠心耿耿-螽斯诜诜-众口嗷嗷-众口嚣嚣-众目睽睽-众人察察-众人役役-众人昭昭
